iter 1400: loss 4.0578, time 1295.39ms, mfu 29.38%
iter 1410: loss 4.0263, time 1235.42ms, mfu 29.53%
iter 1420: loss 3.9864, time 1368.73ms, mfu 29.36%
iter 1430: loss 4.0450, time 1213.37ms, mfu 29.57%
iter 1440: loss 3.9379, time 1280.49ms, mfu 29.59%
iter 1450: loss 4.0059, time 1201.95ms, mfu 29.80%
iter 1460: loss 4.0401, time 1008.46ms, mfu 30.60%
iter 1470: loss 4.0550, time 1178.48ms, mfu 30.78%
iter 1480: loss 4.0039, time 1227.71ms, mfu 30.80%
iter 1490: loss 3.9300, time 1278.73ms, mfu 30.71%
iter 1500: loss 3.9681, time 1172.26ms, mfu 30.89%
iter 1510: loss 3.9148, time 1236.22ms, mfu 30.88%
iter 1520: loss 3.9166, time 1582.66ms, mfu 30.20%
iter 1530: loss 3.8344, time 1391.23ms, mfu 29.92%
iter 1540: loss 4.0376, time 1231.56ms, mfu 30.03%
iter 1550: loss 3.9322, time 1289.21ms, mfu 29.98%
iter 1560: loss 3.8728, time 1312.05ms, mfu 29.89%
iter 1570: loss 3.7634, time 1217.58ms, mfu 30.03%
iter 1580: loss 3.9276, time 1234.42ms, mfu 30.12%
iter 1590: loss 3.8051, time 1291.74ms, mfu 30.06%
iter 1600: loss 3.9189, time 1187.97ms, mfu 30.26%
iter 1610: loss 3.7881, time 1329.86ms, mfu 30.10%
iter 1620: loss 3.8598, time 1348.77ms, mfu 29.92%
iter 1630: loss 3.8249, time 1447.10ms, mfu 29.56%
iter 1640: loss 3.8370, time 1630.72ms, mfu 28.94%
iter 1650: loss 3.9446, time 1304.67ms, mfu 28.97%
iter 1660: loss 3.7963, time 1202.51ms, mfu 29.24%
iter 1670: loss 4.0182, time 1224.25ms, mfu 29.43%
iter 1680: loss 3.7913, time 1364.15ms, mfu 29.28%
iter 1690: loss 3.9381, time 1289.74ms, mfu 29.31%
iter 1700: loss 3.7564, time 1263.16ms, mfu 29.40%
iter 1710: loss 3.7781, time 1277.10ms, mfu 29.44%
iter 1720: loss 3.7797, time 1339.02ms, mfu 29.35%
iter 1730: loss 3.8380, time 1206.62ms, mfu 29.57%
iter 1740: loss 3.8735, time 1261.85ms, mfu 29.64%
iter 1750: loss 3.7621, time 1107.36ms, mfu 30.12%
iter 1760: loss 3.7629, time 1283.78ms, mfu 30.07%
iter 1770: loss 3.6373, time 1308.49ms, mfu 29.98%
iter 1780: loss 4.0191, time 1175.43ms, mfu 30.23%
iter 1790: loss 3.8218, time 1204.35ms, mfu 30.37%
iter 1800: loss 3.8499, time 1729.01ms, mfu 29.54%
iter 1810: loss 3.8496, time 1234.70ms, mfu 29.67%
iter 1820: loss 3.6729, time 1364.65ms, mfu 29.50%
iter 1830: loss 3.6460, time 1219.94ms, mfu 29.67%
iter 1840: loss 3.7656, time 1482.96ms, mfu 29.28%
iter 1850: loss 3.7778, time 1128.30ms, mfu 29.73%
iter 1860: loss 3.7333, time 1018.41ms, mfu 30.50%
iter 1870: loss 3.5933, time 1133.19ms, mfu 30.81%
iter 1880: loss 3.7715, time 1192.38ms, mfu 30.93%
iter 1890: loss 3.5483, time 1722.35ms, mfu 30.05%
iter 1900: loss 3.8275, time 1241.93ms, mfu 30.11%
iter 1910: loss 3.7438, time 1203.62ms, mfu 30.27%
iter 1920: loss 3.7653, time 1580.50ms, mfu 29.66%
